Model,Encoder/Decoder,Disabled_LoRA_Layers,BLEU,chrF++,METEOR,COMET,Morphology
Billyyy/mon_nllb_1.3B,decoder,[0],45.29852871970909,42.12320119195766,0.5397898252010672,0.8030305336645469,0.7785741322674579
Billyyy/mon_nllb_1.3B,decoder,[1],44.05863767358846,44.426092996545144,0.5389754203675127,0.801747733395797,0.7787244727119588
Billyyy/mon_nllb_1.3B,decoder,[2],32.90580606182472,40.73901610479596,0.5405386262262758,0.8031017706387128,0.7811850301039681
Billyyy/mon_nllb_1.3B,decoder,[3],45.29852871970909,42.12320119195766,0.5399260932379759,0.8032351396536167,0.7790511274074214
Billyyy/mon_nllb_1.3B,encoder,[0],44.05863767358846,44.426092996545144,0.5376739722199645,0.8010179194301484,0.7776931942641534
Billyyy/mon_nllb_1.3B,encoder,"[0, 1, 2, 3, 4, 5, 6, 7]",45.29852871970909,42.12320119195766,0.539720262707437,0.8026133301288714,0.7807549114300184
Billyyy/mon_nllb_1.3B,encoder,"[8, 9, 10, 11, 12, 13, 14, 15, 16]",43.66835442847811,40.7949215464496,0.5406772563065343,0.8026131362959802,0.7797264507546173
Billyyy/mon_nllb_1.3B,encoder,"[17, 18, 19, 20, 21, 22, 23, 24]",44.77475828337152,42.922594889712485,0.5381835275180219,0.8022799169416485,0.7789422473814079
Billyyy/mon_nllb_1.3B,decoder,[24],44.05863767358846,44.426092996545144,0.5372574265497616,0.8005654410175655,0.7775008097517301
Billyyy/mon_nllb_1.3B,decoder,[23],25.978788098251098,38.14695076894471,0.5369605886669072,0.7985441583418563,0.7803585263549289
Billyyy/mon_nllb_1.3B,decoder,[22],39.68858127676902,40.79406606941236,0.5371671355842376,0.8022623252668399,0.7790334976693197
Billyyy/mon_nllb_1.3B,decoder,[4],44.05863767358846,44.426092996545144,0.5418900964505049,0.8030658692946075,0.781385481307011
Billyyy/mon_nllb_1.3B,decoder,[5],44.05863767358846,44.426092996545144,0.5436418562733729,0.8056547797539018,0.7790779664066291
Billyyy/mon_nllb_1.3B,decoder,[6],43.18575710208896,41.83314032289138,0.5416757038876118,0.8045837962815884,0.7826060432948663
Billyyy/mon_nllb_1.3B,decoder,[7],33.75804740497264,38.378440236485844,0.538905950169303,0.8025238238893478,0.7817100269540148
Billyyy/mon_nllb_1.3B,decoder,[8],42.56592167859986,43.11415033899759,0.5428676406024426,0.8043571175499395,0.7861067486670794
Billyyy/mon_nllb_1.3B,decoder,[9],32.90580606182472,40.73901610479596,0.5381806585210542,0.8026360633816172,0.7788607311696275
Billyyy/mon_nllb_1.3B,decoder,[10],44.05863767358846,44.426092996545144,0.5401578521673328,0.8009014232709945,0.7785663484431367
Billyyy/mon_nllb_1.3B,decoder,[11],43.18575710208896,41.83314032289138,0.537301498834903,0.8019771194858514,0.7786216341051001
Billyyy/mon_nllb_1.3B,decoder,[12],45.29852871970909,42.12320119195766,0.5396142859721483,0.8023792745273104,0.7811764227030706
Billyyy/mon_nllb_1.3B,decoder,[13],45.29852871970909,42.12320119195766,0.5391107816795948,0.8013701943658558,0.7790920164674622
Billyyy/mon_nllb_1.3B,decoder,[14],44.05863767358846,44.426092996545144,0.5380637808810665,0.8029815741325085,0.779322951557721
Billyyy/mon_nllb_1.3B,decoder,[15],43.36189090348677,45.199860074361986,0.5407603723016263,0.8016361242874338,0.7787745930025392
Billyyy/mon_nllb_1.3B,decoder,[16],45.29852871970909,42.12320119195766,0.539101017883199,0.8012316857755419,0.7793197170777557
Billyyy/mon_nllb_1.3B,decoder,[17],45.29852871970909,42.12320119195766,0.5368737679017243,0.8012053493277829,0.779345933228167
Billyyy/mon_nllb_1.3B,decoder,[18],33.38497304403142,39.43751167320086,0.5381236896790549,0.8017877376538963,0.7775969448754227
Billyyy/mon_nllb_1.3B,decoder,[19],44.05863767358846,44.426092996545144,0.5401663659847921,0.8023369655660961,0.7806634649318318
Billyyy/mon_nllb_1.3B,decoder,[20],35.01826207809195,39.6996878699701,0.5375951131190523,0.8016061653850578,0.7789619399113028
Billyyy/mon_nllb_1.3B,decoder,[21],45.29852871970909,42.12320119195766,0.5376328941401485,0.8024935836907432,0.7783353378515566
None,decoder,[],2.8265205879007453,0.859106529209622,0.048495367376227165,0.5625384693207006,0.4152621051102228
None,decoder,[],40.653075852567405,52.00847010139977,0.5771408247877481,0.8394846051872483,0.804593458586815
Billyyy/mon_nllb_3.3B,decoder,[],27.25088360461925,31.759316971837535,0.5457943539042431,0.8122106275480726,0.7826424852213484
Billyyy/mon_nllb_3.3B,decoder,[0],27.25088360461925,31.759316971837535,0.5440066492197313,0.8113860543890904,0.7814494611166749
Billyyy/mon_nllb_3.3B,decoder,[1],39.68858127676902,40.79406606941236,0.5484708812376363,0.8125786684129549,0.7850614447762996
Billyyy/mon_nllb_3.3B,decoder,[2],39.68858127676902,40.79406606941236,0.547740218933947,0.8124657622262423,0.7855611644214185
Billyyy/mon_nllb_3.3B,decoder,[3],27.25088360461925,31.759316971837535,0.546344265368834,0.8115680735160711,0.7846180259720141
Billyyy/mon_nllb_3.3B,decoder,[4],39.68858127676902,40.79406606941236,0.5474721386993326,0.813333028566696,0.7872952225752817
Billyyy/mon_nllb_3.3B,decoder,[5],39.68858127676902,40.79406606941236,0.5476842580588668,0.8129710750912018,0.7885403218897438
Billyyy/mon_nllb_3.3B,decoder,[6],25.0655313615639,32.56692065419858,0.5473611452278511,0.812501660596005,0.7808585046859734
Billyyy/mon_nllb_3.3B,decoder,[7],29.744000006869886,39.560331004188136,0.5462938090638723,0.8126359707399791,0.7834837585212131
Billyyy/mon_nllb_3.3B,decoder,[8],39.68858127676902,40.79406606941236,0.5468711084916563,0.8121723159264199,0.7850822857292855
Billyyy/mon_nllb_3.3B,decoder,[9],39.68858127676902,40.79406606941236,0.5471114059524809,0.8122758312305443,0.7859729806602269
Billyyy/mon_nllb_3.3B,decoder,[10],27.25088360461925,31.759316971837535,0.547194589815902,0.8132314369259145,0.7864801634097092
Billyyy/mon_nllb_3.3B,decoder,[11],27.25088360461925,31.759316971837535,0.545628411160693,0.8112255902629596,0.7838074395092092
Billyyy/mon_nllb_3.3B,decoder,[12],39.68858127676902,40.79406606941236,0.5474679189436199,0.8115580210631544,0.7845221738343969
Billyyy/mon_nllb_3.3B,decoder,[13],27.25088360461925,31.759316971837535,0.5448653482201321,0.8119606653397734,0.7831974019608663
Billyyy/mon_nllb_3.3B,decoder,[14],27.25088360461925,31.759316971837535,0.5454194946284239,0.8121985880282556,0.7845785756064606
Billyyy/mon_nllb_3.3B,decoder,[15],39.68858127676902,40.79406606941236,0.5465659832609119,0.812203903119319,0.7837865984777106
Billyyy/mon_nllb_3.3B,decoder,[16],39.68858127676902,40.79406606941236,0.5465978870063194,0.8122751339975554,0.7841039206287488
Billyyy/mon_nllb_3.3B,decoder,[17],39.68858127676902,40.79406606941236,0.5446092610208173,0.8112153092568571,0.7816767803879703
Billyyy/mon_nllb_3.3B,decoder,[18],27.25088360461925,31.759316971837535,0.543215450936083,0.8109011625642834,0.7825961203381964
Billyyy/mon_nllb_3.3B,decoder,[19],39.68858127676902,40.79406606941236,0.5447198281412963,0.8123214093769492,0.7819283300187955
Billyyy/mon_nllb_3.3B,decoder,[20],27.25088360461925,31.759316971837535,0.5433031426104856,0.8102595766954742,0.7818561218731591
Billyyy/mon_nllb_3.3B,decoder,[21],38.26029416278449,40.56754319501154,0.5445498551378352,0.8106717133651609,0.782820646200135
Billyyy/mon_nllb_3.3B,decoder,[22],39.68858127676902,40.79406606941236,0.54423939916415,0.8094951809630564,0.783403350182544
Billyyy/mon_nllb_3.3B,decoder,[23],39.68858127676902,40.79406606941236,0.5454080312091378,0.8101741688053599,0.7880439325540883
