Model,Disabled_LoRA_Layers,BLEU,chrF++,METEOR,COMET,Morphology
Billyyy/mon_nllb_3B,None,44.05863767358846,44.426092996545144,0.5372574265497616,0.8005654410175655,0.7775008097517301
Billyyy/mon_nllb_3B_r32,None,45.29852871970909,42.12320119195766,0.5353819756338243,0.7993330065264062,0.7778682983055759
Billyyy/mon_nllb_3B,middle,32.666947590183604,43.94407680041563,0.5502417704474847,0.8096153075869376,0.7884398038315407
Billyyy/mon_nllb_3B,early,45.29852871970909,42.12320119195766,0.5485961640551139,0.8116121514748208,0.78694040025328
Billyyy/mon_nllb_3B,late,27.249745234058675,38.39152687035999,0.537744930616096,0.8008275186944857,0.7825563238644628
base_model,none,24.446151121745043,29.048680224891466,0.5563732059987538,0.8301496968380077,0.7998005456035938
Billyyy/mon_nllb_3B_r32,middle,45.29852871970909,42.12320119195766,0.5435341118533155,0.807946436431097,0.7827463051636486
Billyyy/mon_nllb_3B_r32,late,27.249745234058675,38.39152687035999,0.5334622359361492,0.7971422027340048,0.778708205716507
Billyyy/mon_nllb_3B_r32,early,45.29852871970909,42.12320119195766,0.5478480436109509,0.810001286828942,0.787764702835479
Billyyy/mon_nllb_3B_r32,last_2,39.68858127676902,40.79406606941236,0.5334803133891676,0.7971437752776938,0.7787213229861119
Billyyy/mon_nllb_3B_r32,first_2,49.030470692026626,38.22657865812488,0.5358101877000456,0.8005524340707794,0.7778788760531985
Billyyy/mon_nllb_1.3B,first_2,45.29852871970909,42.12320119195766,0.5403719646518627,0.803261139500047,0.7788700892581358
